anon_id,platform,topic,topic_probability,sentiment,char_count
P0001,Douyin,T1,0.4641,Positive,384
P0002,Douyin,T1,0.5181,Neutral,245
P0003,Douyin,T1,0.6092,Neutral,101
P0004,Douyin,T1,0.6724,Positive,389
P0005,Douyin,T1,0.5161,Negative,291
P0006,Douyin,T1,0.7885,Positive,464
P0007,Douyin,T1,0.4567,Neutral,54
P0008,Douyin,T1,0.4062,Neutral,75
P0009,Douyin,T1,0.4583,Neutral,31
P0010,Douyin,T1,0.4377,Positive,491
P0011,Douyin,T1,0.7283,Neutral,232
P0012,Douyin,T1,0.5162,Neutral,252
P0013,Douyin,T1,0.4968,Negative,668
P0014,Douyin,T1,0.7846,Negative,132
P0015,Douyin,T1,0.5898,Neutral,866
P0016,Douyin,T1,0.9673,Positive,108
P0017,Douyin,T1,0.9493,Positive,53
P0018,Douyin,T1,0.9549,Negative,284
P0019,Douyin,T1,0.9257,Neutral,45
P0020,Douyin,T1,0.6652,Neutral,30
P0021,Douyin,T1,0.5443,Neutral,568
P0022,Douyin,T1,0.6579,Negative,49
P0023,Douyin,T1,0.6166,Neutral,198
P0024,Douyin,T1,0.6939,Neutral,211
P0025,Douyin,T1,0.5667,Positive,576
P0026,Douyin,T2,0.5765,Neutral,39
P0027,Douyin,T2,0.9178,Negative,29
P0028,Douyin,T2,0.5638,Neutral,922
P0029,Douyin,T2,0.9913,Neutral,377
P0030,Douyin,T2,0.604,Neutral,26
P0031,Douyin,T2,0.9582,Positive,66
P0032,Douyin,T2,0.8576,Neutral,473
P0033,Douyin,T2,0.9958,Neutral,786
P0034,Douyin,T2,0.5496,Positive,354
P0035,Douyin,T2,0.9907,Neutral,360
P0036,Douyin,T2,0.982,Positive,529
P0037,Douyin,T2,0.5863,Positive,709
P0038,Douyin,T2,0.8399,Neutral,143
P0039,Douyin,T2,0.6208,Positive,191
P0040,Douyin,T2,0.4135,Positive,202
P0041,Douyin,T2,0.5456,Positive,31
P0042,Douyin,T2,0.5431,Neutral,36
P0043,Douyin,T2,0.5377,Neutral,23
P0044,Douyin,T2,0.5925,Neutral,22
P0045,Douyin,T2,0.8652,Neutral,28
P0046,Douyin,T2,0.9096,Neutral,24
P0047,Douyin,T2,0.9262,Neutral,38
P0048,Douyin,T2,0.9595,Neutral,72
P0049,Douyin,T2,0.6502,Neutral,84
P0050,Douyin,T2,0.8371,Neutral,29
P0051,Douyin,T2,0.8837,Neutral,32
P0052,Douyin,T2,0.7674,Positive,45
P0053,Douyin,T2,0.5537,Negative,536
P0054,Douyin,T2,0.5744,Positive,844
P0055,Douyin,T2,0.8981,Neutral,26
P0056,Douyin,T2,0.6163,Neutral,83
P0057,Douyin,T2,0.8963,Neutral,30
P0058,Douyin,T2,0.7024,Negative,24
P0059,Douyin,T2,0.6129,Neutral,57
P0060,Douyin,T3,0.9236,Neutral,47
P0061,Douyin,T3,0.493,Negative,250
P0062,Douyin,T3,0.8826,Positive,30
P0063,Douyin,T3,0.7035,Positive,158
P0064,Douyin,T3,0.4815,Neutral,61
P0065,Douyin,T3,0.8849,Positive,26
P0066,Douyin,T3,0.8345,Positive,624
P0067,Douyin,T3,0.7945,Negative,618
P0068,Douyin,T3,0.8061,Negative,58
P0069,Douyin,T3,0.6609,Neutral,509
P0070,Douyin,T3,0.9185,Positive,36
P0071,Douyin,T3,0.9656,Positive,114
P0072,Douyin,T3,0.6769,Negative,306
P0073,Douyin,T3,0.5379,Neutral,165
P0074,Douyin,T3,0.5163,Positive,61
P0075,Douyin,T3,0.7363,Negative,96
